Nummer;Navn;Svind;Energi, kJ;Energi, kcal;Nitrogen-til-protein faktor;Nitrogen, total;Protein, videnskabelig;Protein, deklaration;Kulhydrat, difference ;Kulhydrat, tilgængelig;Kulhydrat, deklaration;Tilsat sukker;Kostfibre;Fedt, total;FCF;Alkohol;Aske;Tørstof;Vand;A-vitamin;Retinol;D-vitamin;D3-vitamin;D2 ergocalciferol;25-hydroxy D3-vitamin;25-hydroxyergocalciferol;E-vitamin;alfa-tokoferol;gamma-tokoferol;delta-tokoferol;alfa-tokotrienol;K1-vitamin;B1-vitamin;thiamin;HET, hydroxyethylthiazole;B2-vitamin, riboflavin;Niacinækvivalent;Niacin;B6-vitamin;Pantothensyre;Biotin;Folat;Frit folat;B12-vitamin;C-vitamin;L-ascorbinsyre;L-dehydroascorbinsyre;Svovl, S;Chlorid, Cl;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Fosfor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Molybdæn, Mo;Cobolt, Co;Nikkel, Ni;Fluor, F;Silicium, Si;Rubidium, Rb;Aluminium, Al;Bor, B;Brom, Br;Kviksølv, Hg;Arsen, As;Cadmium, Cd;Bly, Pb;Tin, Sn;L-mælkesyre;D-mælkesyre;Mælkesyre, total;Citronsyre;Oxalsyre;Æblesyre;Eddikesyre;Benzoesyre;Sorbinsyre;Propionsyre;Organiske syrer, tot.;Histamin;Tyramin;Phenylethylamin;Putrescin;Cadaverin;Spermin;Spermidin;Serotonin;Fruktose;Galaktose;Glukose;Monosaccharider, total;Laktose;Maltose;Sakkarose;Disaccharider, total;Maltotriose;Raffinose;Andre sukkerarter;Sukkerarter, ialt;Sorbitol;Mannitol;Inositol;Maltitol;Sukkeralkoholer, total;Stivelse;IDF;SDFP;SDFS;Hexose;Pentose;Uronic Acid;Cellulose;Lignin;Crude fibre;Neutr.Det.Fibre (NDF);C4:0;C6:0;C8:0;C10:0;C12:0;C12:1,n-1;C13:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C21:0;C22:0;C23:0;C24:0;Andre mættede fedtsyrer;C14:1,n-5;C15:1;C16:1,n-7;C17:1,n-7;C18:1,n-9;C18:1,n-7;C20:1,n-9;C20:1,n-11;C22:1,n-9;C22:1,n-11;C24:1,n-9;Andre monoumættede fedtsyrer;C18:2,n-6;C18:2,conjugerede;C18:3,n-3 (ALA);C18:3,n-6;C18:4,n-3;C20:2,n-6;C22:2,n-6;C22:4,n-6;C22:5,n-6;C20:3,n-3;C20:4,n-3;C20:3,n-6;C20:4,n-6;C20:5,n-3 (EPA);C22:5,n-3;C22:6,n-3 (DHA);Andre polyumættede;C14:1,trans;C16:1,trans;C18:1,trans;C20:1,trans;C22:1,trans;C18:2,trans;Andre fedtsyrer;Sum mættede;Sum monoumættede;Sum polyumættede;Transfedtsyrer, total;Fedtsyrer, total;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Hydroxyprolin;Serin;beta-caroten;Massefylde
589;Kaviar, uægte (stenbiderrogn);0;443;106;6,25;2,064;12,9;12,9;0,8;0,8;0,8;0;0;5,7;0,93;0;6,2;25,6;74,4;9;9;3,8;3,8;0;0;0;10,3;10,3;0;0;0;0;0,765;0;0;0,655;3,56;1,15;0,262;0;0;22;0;19,5;10;10;0;0;3570;2160;77;19,5;3,68;125;0,54;0,0366;1,18;27;0,042;0;52;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,102;0;0,816;0;0,204;0;0;0;0;0;0;0;0;0,102;0;0,917;0,204;0;0,204;0;0;0;0;0,204;0;0,102;0;0;0;0;0;0;0;0;0;0;1,019;0,102;1,325;0;0;0;0;0;0;0;0;1,121;1,427;2,752;0;5,301;2,549;0,204;312;722;1090;1010;310;107;475;516;475;144;826;660;268;846;991;1420;433;681;0;784;0;0
1643;Kebabmix med pommes frites, friturestegt, fastfood;0;1227;294;6,25;1,422;8,9;8,9;26,6;23,4;23,4;0;3,2;17,6;0,876;0;2,4;55,6;44,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0,114;0;0;0,0885;0;0;0;0;0;0;0;0;0;0;0;0;771;545;472;16,7;26,5;154;1,49;0,125;2,13;0;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,013;0;0;0,194;0;3,253;0;0,955;0,019;0;0;0;0;0;0;0;0,171;0;6,963;0,32;0;0,101;0;0;0;0;2,663;0;0,62;0,021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,101;0;0;0,042;0;4,433;7,554;3,303;0,143;15,433;0,62;2,683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1281;Kefir (HISTORISK);0;265;63;6,38;0,549;3,5;3,4;4,5;4,5;3,8;0;0;3,6;0,945;0;0,8;12,4;87,6;32,3;31;0,1;0,1;0;0;0;0,09;0,09;0;0;0;0;0,045;0;0;0,203;0,865;0,087;0,038;0,25;1,8;21;0;0,18;0,3;0,3;0;0;0;35,5;153;127;12,7;95;0,05;0,0145;0,54;10,7;0,009;0,052;1,3;3;0;2;0;0;0;0;0;0;0,03;0,3;0,002;0,089;0;0,89;0,03;0;0,02;0;0;0;0;0;0;0,94;0;0;0;0;0;0;0;0;0;0,06;0;0,06;3,78;0;0;3,78;0;0;0;3,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,122;0,078;0,051;0,112;0,139;0;0;0,398;0;1,069;0;0,364;0;0;0;0;0;0;0,051;0;0,078;0;0,798;0;0;0,041;0;0;0;0;0,075;0;0,027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,332;0,968;0,102;0;3,402;0,027;0,075;14;192;340;302;88;21;170;165;143;47;236;121;93;115;280;664;77;329;0;192;16;0
1122;Kiks til ost, Cream Crackers;0;1863;443;5,7;1,648;9,4;10,3;71,6;68,6;64,2;1,6;2,9;13,9;0,929;0;2,4;97,3;2,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,13;0;0;0,08;2,15;1,5;0,06;0;0;0;0;0;0;0;0;87;1120;800;120;110;25;110;1,7;0,19;0,87;0;0,68;8;3;10;5;10;60;3;140;0,2;50;100;0,2;2;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,243;0;0,57;0,813;0,184;1,9;2,05;4,14;0;0;0;4,95;0;0;0;0;0;59,2;0;0;0;0;0;0;0;0;0;0;0;0,013;0,275;0,206;1,58;0;0;0,662;0;3,787;0;0,634;0,016;0;0,033;0;0;0;0;0;0,006;0;4,044;0,08;0;0,001;0;0;0;0;1,467;0;0,032;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016;0;0;0,028;0;7,206;4,131;1,501;0,044;12,882;0,032;1,468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1588;Kiks, dobbelte, hvede, søde;0;2019;481;5,7;0,998;5,7;6,2;71,4;69,1;66,1;0;2,2;19,7;0,919;0;1;97,8;2,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,214;0;1,55;1,77;2,18;0,882;26,9;30;0;0;0;31,7;0;0;0;0;0;34,4;0;0;0;0;0;0;0;0;0;0;0;0,022;0,6;0,455;3,69;0;0;1,432;0;5,11;0;1,409;0,005;0;0;0;0;0;0;0;0;0;3,905;0,049;0;0;0;0;0;0;1,276;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;0;0,036;0;12,725;3,954;1,316;0,115;18,109;0,04;1,276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1115;Kiks, fuldkorns-, digestivetype;0;1931;460;5,7;1,143;6,5;7,1;73,1;69,5;66,5;16,4;3,6;16,5;0,9;0;1,7;97,8;2,2;0;0;0;0;0;0;0;1,3;1,3;0;0;0,2;0;0,098;0;0;0,0352;1,2;1,83;0,089;0;2,3;12,7;0;0;0;0;0;72;541;519;174;25,9;29,6;116;1,17;0,131;0,666;2,35;0,7;0;3,2;0;0;3,7;0;0;0;0;0;0;0;0;2,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,105;0;0,149;0,253;0,17;0,0717;17,8;18;0;0;0;18,3;0;0;0;0;0;48,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,149;0;6,328;0;0,645;0;0;0;0;0;0;0;0;0;0;5,479;0,124;0;0,015;0,013;0;0;0;1,919;0;0,053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,015;0;0;0,102;0;7,122;5,63;1,972;0,116;14,841;0,053;1,919;0;286;491;95;95;85;331;137;183;72;320;229;137;217;309;2070;251;743;0;331;0;0
1595;Kiks, grov med frugt eller grønt;0;1822;433;5,7;1,367;7,8;8,5;72,8;66,7;61,8;0;6,1;13,7;0,913;0;2;96,3;3,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0,237;0;0;0,078;0;3;0,292;0;4,9;30;0;0;0;0;0;0;546;401;322;96;59;175;2,57;0,214;1,01;5,3;0,9;4,9;3,9;0;0;13,6;0;0;0;0;0;0;0;0;3,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,09;0;3,39;6,48;1,01;0,673;14,4;16,1;0;0;0;22,6;0;0;0;0;0;39,2;0;0;0;0;0;0;0;0;0;0;0,022;0,015;0,013;0,022;0,049;0;0;0,167;0;4,586;0;1,144;0,02;0;0;0;0;0;0;0;0,013;0;4,401;0,096;0;0,01;0;0;0;0;1,691;0;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002;0,041;0;0;0,052;0;6,037;4,52;1,851;0,095;12,504;0,16;1,691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1589;Kiks, havre, søde;0;1963;468;5,7;1,21;6,9;7,6;68,4;63,6;57,9;0;4,9;19,6;0,912;0;1,6;96,6;3,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314;314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,726;0;1,07;1,79;0;0,472;19,4;19,9;0;0;0;21,7;0;0;0;0;0;36,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,145;0;6,2;0;0,672;0;0;0;0;0;0;0;0;0;0;7,38;0,202;0;0,031;0;0;0;0;2,964;0;0,277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006;0;0;0,033;0;7,017;7,613;3,241;0,039;17,91;0,277;2,964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1590;Kiks, havre, søde, med chokolade;0;2047;489;5,7;1,148;6,5;7,2;66,4;61,7;58;0;4,6;23;0,9;0;1,8;97,6;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;343;347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,201;0;0,361;0,562;1,18;0,252;28,2;29,6;0;0;0;30,2;0;0;0;0;0;27,8;0;0;0;0;0;0;0;0;0;0;0;0;0,098;0,088;1,06;0;0;0,524;0;6,4;0;2,668;0,113;0;0;0;0;0;0;0;0;0;7,14;0,143;0;0;0;0;0;0;2,198;0;0,079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,125;0;0;0,03;0;10,952;7,283;2,277;0,155;20,667;0,079;2,198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1587;Kiks, hvede, sød, med tyk chokolade;0;2110;504;5,7;1,131;6,4;7,1;65,2;62;59,2;0;3,1;24,9;0,899;0;1,5;98,1;1,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;258;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0902;0;0,28;0,37;5,08;0,467;31,1;36,6;0;0;0;37;0;0;0;0;0;22,2;0;0;0;0;0;0;0;0;0;0;0,177;0,098;0,058;0,172;0,463;0;0;0,679;0,011;6,013;0;6,575;0,197;0;0;0;0;0;0;0;0,107;0;6,65;0,038;0;0;0;0;0;0;0,891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016;0,19;0;0;0,03;0;14,443;6,794;0,891;0,236;22,365;0;0,891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
